id,channel_idx,channel_name,region,timepoint,time_sec,community
4096,0,FP1-F7,frontal,4096,16.0,1
4097,0,FP1-F7,frontal,4097,16.0039,1
4098,0,FP1-F7,frontal,4098,16.0078,1
4099,0,FP1-F7,frontal,4099,16.0117,1
4100,0,FP1-F7,frontal,4100,16.0156,1
4101,0,FP1-F7,frontal,4101,16.0195,1
4102,0,FP1-F7,frontal,4102,16.0234,1
4103,0,FP1-F7,frontal,4103,16.0273,1
4104,0,FP1-F7,frontal,4104,16.0312,1
4105,0,FP1-F7,frontal,4105,16.0352,1
4106,0,FP1-F7,frontal,4106,16.0391,1
4107,0,FP1-F7,frontal,4107,16.043,1
4108,0,FP1-F7,frontal,4108,16.0469,1
4109,0,FP1-F7,frontal,4109,16.0508,1
4110,0,FP1-F7,frontal,4110,16.0547,1
4111,0,FP1-F7,frontal,4111,16.0586,1
4112,0,FP1-F7,frontal,4112,16.0625,1
4113,0,FP1-F7,frontal,4113,16.0664,1
4114,0,FP1-F7,frontal,4114,16.0703,1
4115,0,FP1-F7,frontal,4115,16.0742,1
4116,0,FP1-F7,frontal,4116,16.0781,1
4117,0,FP1-F7,frontal,4117,16.082,1
4118,0,FP1-F7,frontal,4118,16.0859,1
4119,0,FP1-F7,frontal,4119,16.0898,1
4120,0,FP1-F7,frontal,4120,16.0938,1
4121,0,FP1-F7,frontal,4121,16.0977,1
4122,0,FP1-F7,frontal,4122,16.1016,1
4123,0,FP1-F7,frontal,4123,16.1055,1
4124,0,FP1-F7,frontal,4124,16.1094,1
4125,0,FP1-F7,frontal,4125,16.1133,1
4126,0,FP1-F7,frontal,4126,16.1172,1
4127,0,FP1-F7,frontal,4127,16.1211,1
4128,0,FP1-F7,frontal,4128,16.125,1
4129,0,FP1-F7,frontal,4129,16.1289,1
4130,0,FP1-F7,frontal,4130,16.1328,1
4131,0,FP1-F7,frontal,4131,16.1367,1
4132,0,FP1-F7,frontal,4132,16.1406,1
4133,0,FP1-F7,frontal,4133,16.1445,1
4134,0,FP1-F7,frontal,4134,16.1484,1
4135,0,FP1-F7,frontal,4135,16.1523,1
4136,0,FP1-F7,frontal,4136,16.1562,1
4137,0,FP1-F7,frontal,4137,16.1602,1
4138,0,FP1-F7,frontal,4138,16.1641,1
4139,0,FP1-F7,frontal,4139,16.168,1
4140,0,FP1-F7,frontal,4140,16.1719,1
4141,0,FP1-F7,frontal,4141,16.1758,1
4142,0,FP1-F7,frontal,4142,16.1797,1
4143,0,FP1-F7,frontal,4143,16.1836,1
4144,0,FP1-F7,frontal,4144,16.1875,1
4145,0,FP1-F7,frontal,4145,16.1914,1
4146,0,FP1-F7,frontal,4146,16.1953,1
4147,0,FP1-F7,frontal,4147,16.1992,1
4148,0,FP1-F7,frontal,4148,16.2031,1
4149,0,FP1-F7,frontal,4149,16.207,1
4150,0,FP1-F7,frontal,4150,16.2109,1
4151,0,FP1-F7,frontal,4151,16.2148,1
4152,0,FP1-F7,frontal,4152,16.2188,1
4153,0,FP1-F7,frontal,4153,16.2227,1
4154,0,FP1-F7,frontal,4154,16.2266,1
